Reference,NbReceptionDerniersMois,QteReceptionneeDerniersMois,NbReceptionMois2,QteReceptionneeMois2,NbReceptionMois3,QteReceptionneeMois3
REF-129642,12,1596,16,956,4,774
REF-148113,5,1129,2,898,2,598
REF-129479,10,2657,5,1932,14,1592
REF-135233,30,2819,8,3015,19,2944
REF-119323,8,3865,9,4328,10,3996
REF-119534,22,1814,2,1038,5,522
REF-144154,11,4055,5,2057,50,2519
REF-122163,5,2138,26,1705,6,1608
REF-134088,10,3816,9,2174,6,2818
REF-123090,14,3604,6,2987,26,3491
REF-122672,19,1235,2,821,5,851
REF-147265,1,149,1,92,1,115
REF-124800,24,4711,23,4627,19,4483
REF-126546,6,2837,10,3295,7,2592
REF-130291,8,2480,7,2218,16,1806
REF-119687,1,62,1,72,1,83
REF-108028,1,33,1,20,1,11
REF-140018,7,1017,2,1300,17,1044
REF-126102,1,119,1,104,1,125
REF-138369,3,1308,8,1634,4,1741
REF-128172,1,63,1,73,1,57
REF-125979,7,1643,9,1594,5,1815
REF-116839,1,4,1,3,1,3
REF-120150,5,1948,4,1849,3,1546
REF-128243,19,4926,11,5279,11,2855
REF-100196,4,1356,2,733,2,701
REF-134074,2,922,3,748,2,956
REF-149679,11,867,10,534,1,342
REF-123344,17,4463,9,3414,9,2910
REF-127020,1,263,1,158,1,122
REF-124396,12,3045,17,3182,3,1758
REF-147611,5,2271,6,2820,15,1772
REF-118829,1,59,1,41,1,39
REF-104214,29,4721,8,4323,28,3058
REF-135431,9,4320,14,5332,7,2668
REF-100798,32,4257,19,2218,9,2051
REF-124308,11,3717,9,1969,3,1392
REF-112706,25,4777,15,5676,64,4287
REF-121118,13,4178,8,2783,3,1447
REF-122114,13,1997,7,2315,3,1348
REF-110415,57,4089,13,5179,13,4630
REF-126232,54,2721,14,2348,5,2016
REF-103787,10,2461,3,1541,11,1780
REF-123434,1,246,1,166,1,136
REF-113893,40,2547,11,2682,19,1553
REF-120188,11,2279,9,2735,22,2046
REF-119553,23,3039,7,3580,17,3428
REF-112373,1,552,6,688,2,789
REF-108480,38,4114,9,4092,30,5033
REF-104982,31,4127,10,4602,12,3602
REF-106752,5,1565,19,1013,15,867
REF-106897,3,1686,7,1832,4,2297
REF-127235,8,2566,5,2671,10,1833
REF-126060,9,2642,8,1414,4,1803
REF-110913,27,2777,6,3033,10,2375
REF-146936,12,3508,8,2264,3,1631
REF-104210,1,314,1,375,1,403
REF-102052,2,160,1,160,1,81
REF-106408,37,4428,35,4713,14,2562
REF-130817,6,1026,2,684,1,535
REF-135655,3,1070,1,817,3,904
REF-117029,14,4739,23,5073,14,2743
REF-113865,34,3713,31,3663,42,4292
REF-106400,10,4547,10,3245,10,3881
REF-140937,5,835,3,545,2,527
REF-128911,14,2221,15,2623,5,2621
REF-117599,7,3336,20,4000,23,2528
REF-130457,1,205,1,198,1,138
REF-128875,14,4913,22,4366,28,4890
REF-128599,12,3378,8,1820,7,959
REF-111358,26,4948,13,4196,15,4602
REF-102502,20,3252,43,3716,19,4297
REF-134059,1,319,1,343,2,428
REF-116806,2,1414,11,751,2,945
REF-139861,7,2839,7,2144,5,2408
REF-149962,11,4513,20,4325,15,3706
REF-107253,5,1338,9,1518,4,878
REF-126536,7,3492,4,1930,17,1077
REF-120830,1,372,4,453,3,459
REF-147879,5,2653,10,1390,2,839
REF-134750,14,3306,9,2095,19,2063
REF-144649,1,436,1,226,1,279
REF-123865,40,4749,32,4935,35,6159
REF-136487,76,4263,13,5179,56,3941
REF-129609,7,2020,2,1084,2,560
REF-147693,14,3352,47,3402,30,4171
REF-132464,2,606,1,655,3,650
REF-124534,13,3428,14,4422,8,2580
REF-108759,7,2017,22,2480,4,1426
REF-105920,6,1093,2,620,2,414
REF-143809,10,4744,9,2543,12,1485
REF-135516,15,2601,14,2609,24,1610
REF-109523,2,837,6,974,6,1152
REF-132258,10,3607,13,1960,7,1542
REF-132878,5,1575,5,1372,3,1314
REF-149464,22,3025,6,1761,4,2066
REF-106195,3,724,2,594,1,529
REF-146138,9,2694,10,3285,13,3631
REF-114236,13,1691,6,1931,13,2374
REF-100071,1,196,1,101,1,66
REF-129881,38,3376,8,2357,7,2925
REF-107059,4,630,5,697,8,811
REF-134998,37,3327,23,2777,9,3490
REF-116776,3,1360,1,768,1,711
REF-126586,5,1784,4,1299,2,952
REF-144902,5,1876,35,2034,4,1650
REF-137826,32,3091,8,3256,7,3114
REF-137973,31,2985,4,1609,26,1485
REF-101176,2,1036,5,1228,4,1258
REF-100007,25,3740,8,3825,15,2781
REF-143593,2,766,1,499,1,381
REF-121396,10,3389,6,2572,9,3244
REF-141752,1,309,3,258,1,275
REF-131700,2,896,8,969,10,960
REF-134820,7,3056,6,1594,4,1338
REF-138300,2,1083,2,1127,8,1301
REF-122335,9,3803,7,2000,6,1961
REF-106710,1,490,2,497,1,357
REF-115884,5,1443,1,800,6,439
REF-123091,3,339,1,180,1,135
REF-108965,1,87,1,88,1,45
REF-113222,9,2511,2,1324,9,1451
REF-146551,7,1793,7,1955,6,1116
REF-132488,32,3942,8,4115,6,2421
REF-110934,6,2897,9,3642,9,4493
REF-106368,19,4014,17,5120,11,4025
REF-118783,4,522,1,571,1,393
REF-127310,15,1866,4,1798,2,1280
REF-118597,9,4194,10,2466,6,1893
REF-106719,10,1889,3,964,1,512
REF-136458,25,4797,56,6119,20,6535
REF-129113,2,1047,3,1055,9,1123
REF-134805,25,3476,11,2765,7,1776
REF-116717,5,2309,6,1804,5,1412
REF-102242,2,913,3,624,2,803
REF-109510,5,1779,20,1945,29,1975
REF-146028,1,303,2,269,1,287
REF-123307,16,3979,28,3099,10,3348
REF-142126,14,2488,14,2468,30,2852
REF-128868,6,2789,9,3054,14,2693
REF-132515,7,3503,11,3561,7,3705
REF-109486,10,2119,11,2035,6,1127
REF-146883,4,2103,12,1834,2,1407
REF-102974,15,2926,9,3327,7,2494
REF-145029,18,4860,22,2631,10,2932
REF-148879,12,1203,9,725,1,504
REF-136167,12,3820,20,2017,19,1227
REF-111435,16,4528,10,3776,68,4314
REF-114257,7,3784,14,3424,10,1720
REF-132263,1,109,1,77,1,65
REF-100279,13,4132,10,4831,26,5025
REF-125585,9,3523,6,3170,7,2546
REF-135645,34,3305,4,1865,20,2212
REF-121216,9,4551,10,3328,20,4018
REF-130572,2,1069,2,810,1,407
REF-104164,12,2468,4,1903,7,2401
REF-114186,1,118,1,83,1,60
REF-110665,1,376,3,427,2,248
REF-115886,1,369,8,464,1,478
REF-143748,1,426,1,522,5,612
REF-121959,22,4368,17,4632,9,3729
REF-124216,13,4368,47,3430,9,3534
REF-132812,1,724,3,931,3,1107
REF-111861,7,2173,7,2770,9,3242
REF-119175,6,2183,3,1551,3,1602
REF-137781,30,3853,48,2523,26,3106
REF-124946,3,1181,8,1124,2,715
REF-137403,9,2760,6,1824,9,1864
REF-147608,1,576,2,557,4,366
REF-114480,9,3457,13,1967,9,2506
REF-108527,7,2712,14,1440,3,1312
REF-118492,9,3718,18,3226,35,4017
REF-108969,18,2353,14,2207,5,1474
REF-107400,26,4027,38,5101,18,2643
REF-145693,33,2699,4,1464,10,1731
REF-132093,8,4073,21,3826,62,3326
REF-148317,26,4228,21,4445,28,3200
REF-144681,14,1546,7,987,1,797
REF-115321,26,4515,12,4958,55,6379
REF-127469,11,4422,47,4574,25,3228
REF-143655,38,2211,8,2278,10,2267
REF-113493,20,4165,8,3159,8,2672
REF-107717,6,2502,8,2017,4,1149
REF-141799,10,4989,15,3274,17,3305
REF-119371,28,3502,9,2772,5,2470
REF-114341,1,168,1,116,1,136
REF-112089,1,3,1,2,1,2
REF-149322,7,3861,41,3950,9,3877
REF-104212,2,807,1,492,5,572
REF-146025,12,2102,11,2518,7,3174
REF-119525,4,1673,4,1738,5,2040
REF-116346,7,3456,7,3318,10,3291
REF-132598,19,2388,3,1256,13,799
REF-144910,12,3964,7,3105,5,2226
REF-108072,1,246,1,198,1,139
REF-123781,18,4608,9,2395,4,1858
REF-112740,7,1848,7,1761,2,1208
REF-113031,8,1320,4,844,1,835
REF-134467,6,785,2,909,2,655
REF-122660,9,3976,9,2814,15,2299
REF-104726,14,2211,5,1145,1,759
REF-138250,12,3807,5,2423,11,2754
REF-129096,7,3965,9,4524,10,4600
REF-119608,9,3333,12,3663,3,1975
REF-100079,3,1389,4,1296,8,1102
REF-149718,3,626,2,402,1,293
REF-105139,11,2654,5,1497,3,768
REF-112692,13,3926,9,3483,5,2355
REF-125461,9,3860,10,5004,6,2994
REF-147680,13,4615,41,5164,11,4664
REF-121442,6,2668,6,2469,5,2541
REF-143993,9,4319,14,3805,11,3862
REF-123638,10,3721,55,4076,6,2393
REF-115072,7,3217,13,4175,30,5298
REF-131718,6,3116,3,1577,6,875
REF-119932,2,506,1,606,5,696
REF-139538,5,1364,3,1119,2,916
REF-145283,13,3204,9,3247,3,1688
REF-132456,8,3377,58,3410,27,3210
REF-123059,3,1450,3,1491,4,1066
REF-115029,54,3238,8,3907,16,4433
REF-144530,1,244,1,157,1,156
REF-119924,14,4781,12,3066,13,2041
REF-112947,9,4701,6,2731,10,3254
REF-100945,9,3716,13,3778,39,4431
REF-145881,10,4511,82,4531,31,3490
REF-107564,3,671,1,663,2,498
REF-146160,7,590,5,427,1,261
REF-115129,11,3340,9,4340,8,2646
REF-105243,1,560,3,321,1,242
REF-101809,5,2164,5,1187,2,1110
REF-109019,7,1840,9,2098,5,2609
REF-109452,9,4598,9,4050,20,3401
REF-112210,5,777,1,613,1,490
REF-140914,1,401,1,400,3,227
REF-137072,9,1325,6,1120,5,1068
REF-112987,7,2549,5,1649,2,1296
REF-116609,9,2718,7,2663,12,3051
REF-102430,9,1673,4,2037,2,1087
REF-105762,9,2834,7,3284,20,2845
REF-108375,7,2925,11,2198,29,2075
REF-120022,15,3629,23,2517,11,2300
REF-108021,17,2814,3,1434,13,1521
REF-134161,12,4341,10,3265,4,2224
REF-148334,4,1102,2,776,6,544
REF-100416,7,1609,4,1771,7,917
REF-123023,2,899,2,1156,7,866
REF-139447,5,1332,7,1259,6,1263
REF-127589,52,3387,16,3938,9,2396
REF-111323,26,4057,8,3437,21,4273
REF-136565,23,3753,20,2770,9,2659
REF-123339,10,1678,5,1784,17,2007
REF-105322,7,1774,2,1194,7,677
REF-147820,1,466,1,519,1,584
REF-123637,2,711,11,913,6,517
REF-116592,6,2571,4,1679,3,1346
REF-103951,1,398,2,462,5,541
REF-108259,11,4919,13,5471,47,5554
REF-116745,19,4644,10,3470,5,2278
REF-143715,7,3480,7,2144,7,1165
REF-114866,11,2228,16,1308,4,1422
REF-138534,1,336,1,327,1,423
REF-116432,2,977,6,971,5,887
REF-113402,22,4230,14,4612,13,4202
REF-122945,3,753,2,706,1,429
REF-141656,9,2099,6,1809,22,1429
REF-100470,2,349,1,219,1,157
REF-102061,28,2161,7,1494,2,1133
REF-137936,14,4074,7,2160,17,2290
REF-127670,10,3775,8,2239,6,2669
REF-133207,5,2563,8,2092,14,2694
REF-128803,3,1360,4,805,4,1009
REF-102569,5,2441,8,1729,6,1993
REF-132321,10,4683,17,3152,24,2501
REF-127274,1,500,1,541,2,671
REF-114102,16,3386,7,3875,4,2283
REF-148599,4,1011,2,831,1,475
REF-110869,23,4957,34,5370,24,4501
REF-118976,33,4201,16,5019,6,2692
REF-111245,39,4057,16,5226,75,5824
REF-131131,7,2444,36,1912,10,1552
REF-144087,17,4968,24,3835,10,3263
REF-124473,8,2352,4,1851,4,1067
REF-111367,53,3326,8,2900,6,2232
REF-102088,15,4099,8,2628,10,1883
REF-147513,12,1465,6,983,14,1153
REF-124148,10,4037,46,4388,19,4287
REF-132319,3,1617,31,2096,4,2136
REF-134304,1,282,1,333,3,389
REF-135454,9,4387,10,3899,8,3355
REF-124775,34,3140,51,2903,61,3060
REF-111753,1,95,1,75,1,50
REF-108256,9,2071,18,2136,16,2389
REF-113843,10,3544,8,3347,36,2801
REF-147271,6,2264,5,2226,14,2759
REF-101995,5,2214,11,2705,5,1636
REF-129093,14,4554,19,2993,7,3077
REF-116713,8,1704,2,1002,4,786
REF-102248,9,2217,7,1662,6,1208
REF-128556,19,4854,13,4364,18,2425
REF-142979,27,4637,12,4537,14,2743
REF-115898,18,1695,12,1596,8,2017
REF-128089,31,1664,2,1294,3,1604
REF-119246,9,2273,6,1793,3,905
REF-108976,8,3960,18,5039,5,2529
REF-136777,1,421,1,395,2,506
REF-144630,4,1070,2,707,1,671
REF-106529,5,1763,10,1471,6,1724
REF-112008,8,2970,15,2739,28,2566
REF-133061,7,3673,10,3563,8,2860
REF-110406,1,700,1,865,6,1038
REF-145342,57,4465,7,3495,73,3761
REF-147717,5,1790,3,1507,12,1891
REF-134415,2,549,1,295,1,248
REF-101055,1,422,2,429,1,248
REF-113954,17,4550,6,3092,19,3732
REF-131865,6,2903,9,3194,5,2139
REF-141193,2,910,3,1012,2,894
REF-126049,29,4951,13,3884,33,3280
REF-134663,15,3537,9,2061,5,2430
REF-106283,3,1520,3,1447,8,902
REF-115388,3,1344,2,728,1,801
REF-123807,6,620,1,463,2,440
REF-137435,1,630,7,721,4,477
REF-110851,59,3677,6,2964,15,2119
REF-146832,31,4991,83,5442,42,3697
REF-105736,19,3533,27,4524,20,4693
REF-144769,2,997,3,932,2,774
REF-133998,7,1903,15,2051,7,2236
REF-103158,6,1423,4,1634,3,1095
REF-118434,10,2921,23,2830,12,1901
REF-140541,12,4798,8,3745,8,2062
REF-127552,22,4249,7,2326,6,2045
REF-107454,33,4321,8,2262,10,2627
REF-105460,15,4798,24,2990,18,3590
REF-100982,6,2085,12,2060,5,1942
REF-126887,2,1127,3,1232,8,930
REF-136174,1,722,2,784,3,500
REF-142320,5,1331,14,1505,2,1200
REF-128822,6,3020,38,3655,22,3640
REF-126495,1,114,1,123,1,155
REF-149821,4,841,2,1055,2,995
REF-133221,4,854,7,996,3,976
REF-103789,54,4068,42,4917,11,5399
REF-110916,12,3685,10,2077,5,1644
REF-133121,42,4351,4,2227,5,2136
REF-103631,3,1218,12,703,9,647
REF-128141,3,625,4,313,1,382
REF-130501,16,1106,2,1006,4,1281
REF-135286,34,4194,13,3542,5,2163
REF-125885,2,1042,9,1066,4,672
REF-100042,2,1036,5,1081,2,691
REF-125793,11,1896,19,2195,10,2584
REF-117236,13,4878,10,2727,25,2830
REF-128037,1,538,1,395,1,199
REF-122089,11,3972,9,4677,10,4402
REF-109325,2,369,4,383,1,443
REF-122877,64,3418,32,2860,14,1496
REF-133144,14,3926,23,3849,7,3421
REF-116944,8,2005,18,1860,3,1007
REF-149262,7,3359,25,3654,17,2515
REF-101909,3,1342,3,879,3,981
REF-125877,4,1276,12,927,3,823
REF-143178,84,4406,23,5667,9,4789
REF-114106,1,118,1,125,1,147
REF-128429,18,4336,9,3342,10,3958
REF-131544,5,1110,4,580,6,724
REF-133956,21,3515,9,2895,14,1960
REF-135293,15,3575,31,3340,12,3452
REF-129308,26,1738,33,1724,9,2172
REF-144571,22,2579,8,1918,4,1635
REF-117788,10,1711,8,2114,18,1542
REF-143810,9,2366,4,2367,6,1887
REF-138969,1,179,1,182,1,148
REF-117624,17,4747,29,4679,8,3513
REF-140100,13,3111,7,3030,10,3527
REF-134680,6,2489,5,1486,5,1213
REF-116169,51,3460,22,3812,10,4812
REF-134237,2,888,2,1001,2,1088
REF-138423,19,2829,6,2815,30,3559
REF-146474,5,1350,3,1735,27,1664
REF-112904,1,706,1,815,2,684
REF-119879,4,1898,7,2390,10,1897
REF-122629,6,1953,6,1637,3,1523
REF-128361,11,3201,5,2636,12,1783
REF-109725,1,332,1,423,1,404
REF-147783,2,839,1,757,2,879
REF-110656,9,3910,17,4800,12,3746
REF-144832,11,3385,4,1959,5,1570
REF-113129,12,4135,25,3328,33,3302
REF-136120,12,4588,14,4166,9,4514
REF-131526,14,4092,22,5148,50,5252
REF-101539,12,2831,17,3155,8,3546
REF-143816,6,1433,4,1679,6,1146
REF-105620,7,1601,4,1762,2,1098
REF-120376,11,3660,14,3387,6,3244
REF-132806,6,2347,9,1695,14,1623
REF-108832,7,476,1,416,1,527
REF-127328,13,3382,12,3913,29,2309
REF-145181,1,284,1,366,1,474
REF-146967,8,2140,10,2178,7,2520
REF-127893,14,4431,15,4332,10,4167
REF-130469,17,3338,10,3894,18,4820
REF-129861,31,3477,8,3044,26,3061
REF-101227,7,2529,19,2656,41,2300
REF-109081,2,1251,2,1082,7,673
REF-106105,2,1040,12,837,1,455
REF-121038,6,2041,3,1307,9,1183
REF-143198,52,3443,27,2511,12,3161
REF-146218,8,2710,18,3226,6,2317
REF-102129,3,1577,20,1440,4,1336
REF-103525,9,3175,21,3989,5,2396
REF-143723,11,4924,33,3959,14,3592
REF-126528,20,3443,14,4140,8,4196
REF-146482,19,3469,15,4297,13,2960
REF-126678,16,4659,13,3926,11,3409
REF-102133,7,2432,2,1317,11,1410
REF-120467,11,4480,22,4741,6,2820
REF-143970,18,4473,42,5348,64,6153
REF-145760,10,3180,10,3370,7,3163
REF-107324,4,1921,9,2220,4,1948
REF-101365,9,4156,13,3595,8,3544
REF-134898,17,2246,3,1271,1,647
REF-130638,21,2413,8,2741,32,2754
REF-113749,18,4402,38,4811,13,4578
REF-115238,11,3243,21,2904,8,3674
REF-118052,9,3989,15,4535,15,3691
REF-142035,11,3634,36,4429,6,2812
REF-117172,25,4629,8,4280,19,2423
REF-148241,25,3199,17,3597,6,2194
REF-113229,4,1704,5,1931,6,1795
REF-109003,5,1412,19,1648,21,1183
REF-109515,4,1109,2,1181,4,1067
REF-140294,8,3028,24,2855,3,1451
REF-113682,31,3579,19,3843,19,4098
REF-118015,1,432,1,329,5,319
REF-143947,19,4834,9,2433,10,1881
REF-139349,4,1164,2,914,4,966
REF-114216,56,4552,18,3231,16,4058
REF-149069,5,1859,21,2404,13,1475
REF-139384,17,3778,10,4412,9,2837
REF-129176,5,1319,18,1179,4,1121
REF-127960,15,3903,13,2071,5,2618
REF-126953,11,4281,46,5188,17,6602
REF-143432,8,2929,24,3743,29,3288
REF-130989,13,2263,8,1449,2,907
REF-102195,9,3337,43,2776,7,1768
REF-129491,46,2449,26,2246,10,1207
REF-135426,7,2691,53,2780,9,3436
REF-105011,7,2180,4,1757,3,1515
REF-143524,4,1571,23,1554,5,1420
REF-123015,7,2156,5,1390,12,955
REF-103095,9,4063,11,2520,4,1390
REF-143704,11,3634,20,3662,4,1884
REF-102138,1,298,3,265,1,295
REF-134492,13,4827,8,2756,19,3486
REF-102524,84,4463,10,2450,2,1445
REF-116351,19,4178,18,2406,4,2334
REF-114237,1,499,1,328,2,298
REF-120224,40,3661,19,2551,3,1737
REF-125462,10,1306,2,903,8,900
REF-133551,9,2984,35,1811,26,1940
REF-102162,15,1650,13,1147,8,1156
REF-102226,8,4336,6,2212,7,2453
REF-120575,9,4017,8,2419,28,3008
REF-125480,4,1007,2,1211,5,1413
REF-146336,22,4689,19,3110,17,4036
REF-140997,1,59,1,66,1,46
REF-103305,4,1976,17,2058,6,1198
REF-149051,16,3917,5,2098,9,2075
REF-130077,9,3875,9,4012,12,2884
REF-128756,7,1547,6,1909,7,2464
REF-121527,1,754,4,861,4,967
REF-138092,7,2472,11,2392,4,2188
REF-119821,1,656,1,346,1,360
REF-148395,1,222,1,236,1,150
REF-111655,1,136,1,69,1,79
REF-106964,5,1780,3,1524,28,1967
REF-122940,5,673,2,775,3,589
REF-100360,21,4771,10,4887,66,3801
REF-140478,13,3504,12,2160,4,1894
REF-109709,13,4184,28,4234,32,3738
REF-142277,12,3417,6,1752,5,1814
REF-126413,11,4599,21,4299,18,5450
REF-101337,10,3691,8,2431,13,2171
REF-128205,28,3806,17,4834,12,4650
REF-120089,13,4955,26,5261,29,2879
REF-138586,2,989,1,615,7,662
REF-135943,2,519,1,588,2,371
REF-127164,11,3939,10,4240,18,4042
REF-137306,1,160,1,203,1,144
REF-100871,5,2395,6,2558,4,1489
REF-101179,4,1210,10,1445,2,1352
REF-142052,30,4604,46,4693,104,5459
REF-123260,13,4092,10,3892,7,3153
REF-124788,6,2667,9,3039,11,3428
REF-141955,9,4249,46,5522,78,5166
REF-107233,6,2493,4,2003,13,2594
REF-124697,1,194,1,190,1,231
REF-145246,32,3497,11,2469,4,1680
REF-132702,9,4148,19,2694,9,3376
REF-131888,7,2941,12,2978,5,2556
REF-128965,6,1572,6,978,2,571
REF-144116,2,350,4,353,1,393
REF-130680,8,3916,15,3337,12,4024
REF-133229,10,4820,51,3851,9,3476
REF-123899,1,700,1,424,1,378
REF-113144,9,3159,4,2319,21,2367
REF-127638,4,808,4,487,9,537
REF-121280,7,3098,7,2037,4,1433
REF-126367,1,118,1,98,1,96
REF-135588,3,665,1,435,5,564
REF-121859,1,601,2,482,1,335
REF-111559,38,3126,5,2448,18,1649
REF-117643,51,4623,9,2873,26,3116
REF-122272,17,2136,2,1112,3,1428
REF-132360,43,4733,11,4805,16,2972
REF-129870,3,1546,1,935,3,763
REF-137474,19,1784,6,1994,5,1226
REF-136007,5,1524,10,1194,3,1491
REF-122637,4,1429,2,1220,19,1093
REF-121433,9,3794,20,4218,11,5281
REF-119602,2,746,11,913,3,1109
REF-106789,8,2849,31,2358,7,1541
REF-145102,2,1382,7,1476,14,1585
REF-120771,4,929,3,1130,1,896
REF-146634,9,4000,6,2400,41,2936
REF-104938,2,507,4,640,1,558
REF-118735,8,1855,27,1579,2,1013
REF-118148,2,588,1,503,1,313
REF-123974,30,4061,6,2320,6,2537
REF-116906,1,231,1,198,1,106
REF-128549,5,1784,23,2084,6,1623
REF-147601,10,3600,31,4460,12,3700
REF-139610,5,1941,24,2096,3,1251
REF-126727,3,1294,3,1573,5,1793
REF-125315,9,4416,30,4729,12,3908
REF-139566,13,4389,13,5537,15,5631
REF-118455,29,4314,37,2194,4,1751
REF-118638,21,2415,23,2428,11,2565
REF-106312,3,679,1,439,6,549
REF-106254,6,3203,7,2464,21,1950
REF-144086,12,3685,8,3778,8,2687
REF-101082,1,59,1,60,1,34
REF-126377,5,1292,1,661,2,564
REF-122318,1,606,3,777,2,572
REF-128739,7,2922,10,2323,16,2324
REF-138302,1,169,1,167,1,106
REF-110539,20,2054,6,2224,5,1245
REF-110376,13,4099,100,5224,9,4280
REF-134020,27,4622,5,2618,6,1747
REF-112346,2,489,1,491,1,266
REF-113327,6,1034,2,787,3,940
REF-109966,1,453,1,283,1,333
REF-113530,1,266,1,148,1,127
REF-115549,3,632,1,811,2,829
REF-136236,6,2935,14,2804,12,2051
REF-118733,2,1186,3,1463,21,1556
REF-105754,1,221,1,280,1,361
REF-130477,10,2648,12,2399,6,2350
REF-120075,48,3801,8,3745,20,2169
REF-130773,11,4735,44,5388,51,5634
REF-103812,9,1488,6,987,1,604
REF-142777,6,1635,2,1285,3,719
REF-144246,1,661,4,700,4,857
REF-116721,2,781,3,868,4,630
REF-144281,4,855,8,657,2,587
REF-111194,15,4452,12,5685,9,4034
REF-128366,5,1506,15,1467,6,1310
REF-138174,8,645,1,344,1,432
REF-148515,6,1433,3,1642,4,1952
REF-104130,7,3603,6,1930,6,1278
REF-147675,8,4097,10,4565,28,3914
REF-130073,8,1405,4,1065,2,918
REF-126646,5,2396,13,1831,4,1353
REF-126874,13,4102,16,3534,6,2966
REF-111252,7,3213,6,2330,5,2516
REF-100445,1,244,1,207,2,246
REF-134855,4,2197,6,1970,4,2327
REF-106671,8,727,2,591,1,421
REF-146436,8,2992,13,1933,2,1267
REF-103526,53,4270,6,2309,4,1429
REF-145724,1,486,2,573,1,463
REF-119737,65,4746,8,3168,12,2925
REF-118749,9,4061,31,4058,21,2807
REF-120586,27,2444,7,2568,6,2827
REF-137400,6,1955,6,1886,3,1624
REF-105098,6,2682,5,2454,14,2708
REF-112010,9,4538,5,2482,5,2219
REF-148073,3,1108,2,673,1,453
REF-128557,15,4015,82,4938,19,5043
REF-132275,8,3564,47,3398,6,2753
REF-141874,35,4673,37,5610,26,4100
REF-145493,13,2979,10,2730,7,2523
REF-142460,15,2243,15,1173,6,759
REF-138337,5,688,4,883,1,793
REF-135197,7,1951,3,1750,7,1030
REF-135894,33,4957,7,3165,13,1661
REF-128496,7,1546,4,1891,20,1642
REF-107128,2,814,3,964,1,567
REF-127004,8,3947,16,4409,77,4567
REF-123676,3,1707,7,1274,5,685
REF-111818,13,2773,5,1561,4,1919
REF-129466,18,4632,12,5403,13,5480
REF-123626,10,3857,16,2429,8,3003
REF-125199,15,4927,12,5784,19,5189
REF-106255,10,4458,8,3579,3,1892
REF-125768,3,1695,6,858,1,759
REF-124962,29,3772,9,4699,25,5675
REF-102474,7,3504,7,2086,4,1294
REF-100472,5,645,1,410,3,475
REF-137108,21,4591,8,3903,14,4813
REF-104206,1,146,1,143,1,150
REF-132128,20,3152,23,3790,49,3157
REF-115656,4,1884,11,1002,13,1138
REF-104163,4,538,1,550,1,364
REF-109564,8,3315,21,1974,3,1454
REF-138356,12,2059,9,1604,12,1094
REF-119692,3,1427,4,1467,2,1202
REF-105439,9,4149,8,3469,32,3877
REF-109841,4,1036,3,540,2,659
REF-101011,15,4626,19,3036,8,1762
REF-125542,7,1358,16,1650,4,1984
REF-118963,7,3715,7,3091,8,3585
REF-141359,7,1678,3,1425,10,1447
REF-126705,1,328,1,182,2,216
REF-126761,19,3155,58,3892,53,4120
REF-135854,10,3387,9,2197,5,2328
REF-143258,1,59,1,35,1,32
REF-129837,40,4171,5,2139,11,2660
REF-130653,9,1540,3,1388,2,1315
REF-132206,19,4232,5,2508,6,1950
REF-121067,2,756,4,931,2,948
REF-118966,5,1635,3,1517,4,1844
REF-100607,13,2952,8,2493,7,3164
REF-105547,14,3799,14,4106,21,3247
REF-133081,29,4706,11,3973,38,2764
REF-106862,7,457,1,431,4,269
REF-118825,20,4282,10,3247,14,3472
REF-110948,1,357,1,430,1,512
REF-117617,7,3251,11,2559,5,1983
REF-114008,1,333,1,386,1,423
REF-100356,1,188,1,231,1,250
REF-133768,16,2162,4,1306,9,967
REF-107864,21,4741,13,4795,9,3023
REF-101361,21,4982,57,5466,38,6098
REF-113456,2,1069,8,941,2,564
REF-141272,8,3781,5,2688,15,3226
REF-117663,8,2209,5,2282,24,2922
REF-103248,12,1416,7,957,3,1177
REF-130950,10,4871,28,4953,10,4007
REF-105582,1,199,1,118,1,109
REF-117969,3,1232,3,1122,7,1202
REF-122432,50,2954,6,1847,4,987
REF-133798,8,3173,12,4010,72,5196
REF-106060,10,1499,4,1109,1,697
REF-134386,11,628,1,788,2,602
REF-127111,11,2882,14,2970,4,1885
REF-129199,23,4416,16,4030,12,4020
REF-104767,11,2340,17,3038,10,3538
REF-140823,2,1061,2,709,6,877
REF-133660,11,3501,13,4182,28,3962
REF-142626,11,1002,20,1044,3,539
REF-133112,18,2730,7,2718,4,1663
REF-121356,17,1720,3,1869,8,2133
REF-135638,11,4820,24,3987,10,4742
REF-130923,13,4569,12,4186,11,4262
REF-149302,9,1704,6,1011,3,1124
REF-140069,22,2966,56,3150,35,3621
REF-149246,7,3154,26,1605,5,1017
REF-133103,7,3122,29,3323,28,4145
REF-147147,14,3756,18,3860,28,3730
REF-100929,5,2461,26,1646,7,851
REF-142797,22,4605,7,2325,3,1709
REF-105653,20,2111,2,1136,3,1127
REF-125167,7,1962,4,2090,7,2380
REF-136797,10,4087,50,2593,25,2752
REF-106787,3,347,1,397,1,316
REF-121796,10,4182,12,3436,20,3879
REF-118361,18,3421,10,4409,30,5626
REF-137021,2,638,1,367,1,331
REF-108206,42,3307,4,2105,22,2413
REF-141139,1,446,2,256,1,176
REF-131333,1,305,1,260,3,255
REF-120907,16,4271,6,2855,17,2976
REF-136039,5,1847,2,1431,2,1259
REF-108205,14,3078,13,3364,7,2040
REF-120136,6,2526,5,1440,4,1394
